"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Developing economies excluding LDCs and China: Asia",1516384.935,1334060.452,1427329.421,1126341.145,677502.014,860889.089,1049325.146,1625451.326,3246407.675,3939452.533,5057649.773,4792418.317,4724296.273,4713621.881,5195292.486,6955491.595,8370983.437,7586157.011,9506970.012,10454710.68,9541800.721999999,8266772.598,6073982.418
"LDCs (Least developed countries)",5.686,292.563,48.829,164.305,28.443,9.359,193.497,28.452,21.496,251.6,258.914,1307.347,1150.622,351.042,2219.403,1604.503,5341.537,1841.519,3304.695,2946.645,4776.263,13878.878,11374.893
"    LDCs: Africa and Haiti",0.724,291.985,48.829,49.449,1.916,2.942,147.552,18.175,20.086,134.593,94.214,1256.329,188.589,250.338,1921.593,1330.632,5155.583,282.916,1838.298,1037.93,1500.198,9358.147000000001,8887.078
"    LDCs: Asia",4.962,0.578,"..",114.856,26.527,6.417,45.945,10.277,1.41,117.007,164.7,51.018,962.033,100.704,297.81,273.871,185.843,1558.494,1466.257,1908.459,3275.896,4520.473,2425.701
"    LDCs: Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.111,0.109,0.14,0.256,0.169,0.258,62.114
"    LDCs: Africa",0.724,291.985,48.829,49.449,1.916,2.942,147.552,18.175,20.086,134.593,94.214,1256.329,188.589,250.338,1921.593,1330.632,5155.583,282.916,1838.298,1037.93,1500.198,9358.147000000001,8887.078
"    LDCs: Islands and Haiti","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.111,0.109,0.14,0.256,0.169,0.258,62.114
"LLDCs (Landlocked developing countries)",1628.042,924.032,328.546,252.753,268.049,144.863,156.683,886.426,2512.255,624.463,1059.426,2564.412,8705.123,4622.987,3700.553,2953.698,10982.674,3405.087,3777.425,2854.222,3457.802,35428.611,26843.77
"SIDS (Small island developing States) (UNCTAD)",682.221,14.853,10.831,"..",13.878,10.018,10.622,20.661,32.569,23.254,31.138,12.639,5.739,74.949,45.12,4.577,102.679,524.399,7747.789,15514.469,101.192,48.075,113.519
"High-income developing economies",1585548.602,1418271.62,1444359.017,1133880.23,680299.502,864889.6629999999,1171457.595,1723113.057,3458039.679,4014560.43,5058665.451,4953876.773,4873574.785,4845983.947,5360350.736,7445712.615,9027399.609999999,8381693.93,10872982.013,12221655.171,10701867.582,9025437.823999999,6842547.308
"Middle-income developing economies",1124.195,2744.921,3613.732,5585.552,4231.575,12943.86,8322.272000000001,20221.344,51661.711,83240.073,118844.663,115891.235,129148.082,102050.97,107406.1,190732.016,294725.705,319394.044,441842.513,490408.33,364733.919,447977.952,499013.061
"Low-income developing economies",7.225,297.033,50.1,67.795,19.901,9.387000000000001,155.786,28.432,21.027,75.28100000000001,150.034,259.219,303.2,2742.961,1514.566,1536.037,5268.271,411.195,2178.877,1999.889,2887.457,10526.722,10037.776
"Low-income economies (World Bank)",7.225,297.033,50.1,49.449,1.916,2.97,154.685,18.175,19.703,37.026,92.90900000000001,214.958,285.774,2666.109,1219.325,1322.046,5152.463,287.305,1748.033,1041.006,1499.875,9289.002,8897.093000000001
"Lower-middle-income economies (World Bank)",1516.607,3140.64,3700.765,5677.714,4323.978,12982.213,8259.584000000001,38792.612,52653.23,84439.694,118778.149,116017.665,134602.976,102344.644,109704.145,190956.372,294587.127,318521.311,435091.2,475711.572,366243.309,451512.906,508701.253
"Upper-middle-income economies (World Bank)",130069.797,149704.069,62650.201,27299.336,53343.573,71455.455,191928.158,236905.88,377269.117,275007.303,253621.231,442503.494,454447.918,400135.375,445430.338,973048.133,1297853.109,1463749.714,2157220.275,2699836.624,2220210.873,2416440.639,2220110.405
"High-income economies (World Bank)",3553334.241,2946722.018,3556102.63,2705162.497,2196436.958,3176122.457,4001279.996,6820605.345,12317949.5,12698265.617,13494294.928,17089480.824,21885540.56,25813907.72,28467533.027,49564511.431,63635541.83,63217862.45,69971481.678,81149129.654,60468707.359,63847560.157,70276154.457
"High-income OECD members (World Bank)",2262751.728,1785414.434,2203965.466,1684096.66,1640881.551,2506574.66,3196436.239,5647092.897,10565698.2,11040710.776,11886163.802,15704053.329,20411254.643,24118951.584,26887966.912,48191419.565,62319036.779,61880895.069,68105879.228,78942903.934,58210481.508,61827658.513,68225900.721
"High-income non OECD members (World Bank)",1290582.513,1161307.584,1352137.164,1021065.837,555555.407,669547.797,804843.757,1173512.448,1752251.3,1657554.841,1608131.126,1385427.495,1474285.917,1694956.136,1579566.115,1373091.866,1316505.051,1336967.381,1865602.45,2206225.72,2258225.851,2019901.644,2050253.736
"HIPCs (Heavily indebted poor countries) (IMF)",23.986,311.852,40.328,85.979,216.305,29.448,158.66,113.256,43.739,52.362,291.553,294.177,228.269,323.421,3377.895,1474.92,7730.165,2444.74,4433.906,4203.923,5810.041,9802.049000000001,9062.558999999999
"LIFDC (Low-income food-deficit countries) (FAO)",774.855,745.409,1368.397,2479.397,1654.982,2254.222,3327.896,5530.621,19039.695,14174.917,14248.298,7901.903,20568.133,27270.538,32174.628,39906.187,112460.855,88169.00199999999,134014.879,113004.376,85572.325,86372.662,93411.53599999999
"Selected LIFDC (Low-income food-deficit countries)",529.523,539.975,1265.426,2419.59,1571.642,2205.802,3180.78,5486.464,19014.743,13942.729,14125.393,6507.506,14796.951,26722.901,25067.553,37913.388,106888.553,87685.802,131432.307,109350.834,79449.817,83273.13800000001,86807.36500000001
