"PRODUCT -   Unclassified products (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of minerals and mining products",4441.428,3951.536,4773.245,5842.475,18187.925,6243.716,18083.541,19790.26,25887.363,22498.211,50150.331,121672.461,371175.14,194973.67,157316.012,207071.686,364055.405,381707.639,140564.037,159242.874,171166.329,158586.627,183900.781
"Net food-importing economies",1652647.775,1765009.103,2012098.598,1755605.594,1897177.757,2624678.12,2650658.349,2977414.361,3800916.381,5022087.619,8312844.63,10215868.921,12441811.292,9212915.049000001,17864294.397,10862638.248,14722742.704,26929300.301,28454652.831,25579216.313,19215059.553,17207928.889,16368384.949
"  Net food-importing developing economies",1252065.135,1331450.525,1494811.226,1349518.053,1434991.27,1615878.249,1776787.734,2104640.65,2453930.901,3086337.355,5878210.379,7478984.575,7916850.076,4746768.011,4367712.847,5627651.571000001,9218857.129000001,22174089.409,23989966.049,20679818.295,14674123.01,11681980.561,11170063.735
"  Net food-importing transition economies",3596.426,2702.351,48133.82,6248.536,10552.934,68334.893,4270.503,5870.731,12607.436,28869.022,15761.466,38606.785,50583.383,205922.641,124782.897,159232.515,172389.099,105245.948,122897.12,338523.283,100451.73,155448.664,231513.082
"  Net food-importing developed economies",396986.214,430856.227,469153.552,399839.005,451633.553,940464.978,869600.112,866902.98,1334378.044,1906881.242,2418872.785,2698277.561,4474377.833,4260224.397,13371798.653,5075754.162,5331496.476,4649964.944,4341789.662,4560874.735,4440484.813,5370499.664,4966808.132
"Major net food-importing economies",1640265.589,1753040.827,1999381.508,1721264.565,1825976.06,2499798.321,2536461.63,2896452.026,3716396.571,4860023.166,8154157.922,9937271.287000001,11895776.202,8638152.639,17463703.138,10051632.886,14099102.78,26373929.678,28124779.092,25017188.505,18813693.906,16799303.66,15904418.751
"Net food-exporting economies",752494.412,863293.878,1088583.992,1363188.011,1664688.865,2266872.279,2358646.219,3163972.795,3758644.459,4857120.876,6481574.666,7582363.71,11974580.777,13966251.199,9344758.988,11445403.452,13910112.098,16019039.493,12746817.663,12233307.692,12759297.561,12084779.118,12669132.215
"  Net food-exporting developing economies",108941.054,108147.443,164753.506,127420.026,120778.255,127566.328,142474.784,346545.197,309864.259,500756.862,672043.029,927643.259,3848671.95,4917746.612,2002949.19,2835317.786,4930684.486,6302125.721,3823407.526,2528566.927,2112764.09,1535103.971,1829470.114
"  Net food-exporting transition economies",578.4690000000001,796.452,2242.208,1293.124,1428.535,7130.783,5220.792,2487.842,3321.456,2127.455,2354.123,4490.495,7449.776,39874.482,193194.381,254321.647,131346.649,122410.595,133300.944,226114.78,161949.3,365374.477,354413.208
"  Net food-exporting developed economies",642974.889,754349.983,921588.2780000001,1234474.861,1542482.075,2132175.168,2210950.643,2814939.756,3445458.744,4354236.559,5807177.514,6650229.956,8118459.051,9008630.105,7148615.417,8355764.019,8848080.963,9594503.176999999,8790109.193,9478625.984999999,10484584.171,10184300.67,10485248.893
"Major net food-exporting economies",747867.494,856139.244,1082565.404,1358388.058,1657955.531,2253896.608,2347640.41,3150416.738,3741310.459,4840024.991,6431494.261,7493261.982,11835188.728,13875978.757,9255007.147,11293861.56,13788336.342,15896025.633,12639100.458,12091253.011,12549193.198,12006926.583,12592478.076
"BASIC",38746.054,32423.067,33188.442,68123.38099999999,19979.798,34374.886,31014.796,49978.91,81720.74800000001,99460.323,170367.463,388634.604,2750208.071,2275492.464,1306676.383,2042270.887,4107738.899,5657918.543,3677180.495,2706424.219,2251692.685,820050.32,1928480.336
"BRICS",42184.469,35064.198,81204.85000000001,73882.14999999999,26613.515,36121.276,33443.118,54146.023,89433.92,124503.338,180728.964,407649.712,2782707.303,2344375.714,1379081.294,2175441.474,4231869.74,5739437.357,3752282.881,2790926.234,2300335.064,915380.232,2032229.834
"Industrialized economies (UNIDO)",2126089.648,2443833.957,2798346.847,2880809.175,3276486.317,4480088.824,4600120.143,5513735.333,7061684.594,8829860.561000001,13373086.054,15816090.859,16004366.772,18345680.5,23485427.981,17299556.539,20527207.269,32957285.496,33878680.44,30160319.861,24409516.736,24348921.108,21596635.005
"EIEs (Emerging Industrial Economies) (UNIDO)",86527.78200000001,82293.546,130067.088,193425.897,173045.721,295972.17,163137.401,260780.934,302813.778,604766.02,893261.522,1272420.568,7075807.989,3803464.237,2770428.996,3723750.682,6128798.389,8362459.262,6400893.564,5814230.148,5819121.539,3903584.851,6357683.071000001
"Emerging markets",1224652.681,1346727.116,1545563.134,1454955.469,1463455.963,1691501.901,1747800.25,2151641.545,2605131.761,3198729.577,6253207.195,7820735.738,10724984.678,8973705.460999999,5712042.997,7130971.619,12356847.633,26824912.099,26922541.384,21443681.855,14921993.081,12167759.079,12094915.923
"  Emerging markets: Africa",5442.263,6887.52,7742.151,6110.596,6401.09,9600.914000000001,80858.325,80408.466,36898.598,38771.03,52552.735,94821.296,168456.083,105591.94,105740.029,101191.896,155454.112,211861.498,300139.805,322567.241,317529.395,363159.534,344413.918
"  Emerging markets: America",16784.019,29632.087,57106.866,74059.803,93586.916,136845.792,68304.493,166845.222,159630.03,439302.643,520515.209,710708.04,6518081.273,916087.647,819902.379,1244544.054,1721344.603,2442151.778,2437032.345,2538195.235,2986678.427,2520882.824,3702166.615
"  Emerging markets: Asia",1178485.023,1290232.82,1411663.011,1339112.151,1325912.867,1466114.195,1569398.511,1882422.108,2379338.555,2665733.579,5422782.089,6846388.14,3834443.807,7468918.299,4254165.578,5201000.507,10096614.564,23809845.706,23837657.42,18101854.929,11278057.927,8703952.91,7478185.788
"  Emerging markets: Europe and Kazakhstan",23941.376,19974.689,69051.106,35672.919,37555.09,78941,29238.921,21965.749,29264.578,54922.325,257357.162,168818.262,204003.515,483107.575,532235.0110000001,584235.162,383434.354,361053.117,347711.814,481064.45,339727.332,579763.811,570149.602
"Africa excluding South Africa",11426.323,13252.54,16131.876,10373.235,18883.819,22661.287,104964.859,125052.946,78031.651,129356.037,174619.458,187981.287,349414.46,111099.478,143735.346,142467.44,163971.914,167023.955,199322.884,327000.195,775808.598,188949.606,145206.902
"Northern Africa excluding Sudan",453.912,1134.345,2340.995,554.632,616.436,913.648,74318.01300000001,76739.30800000001,37069.624,32030.71,25866.236,32928.699,128966.069,27402.091,34873.861,69916.48299999999,31115.398,31142.203,63223.119,48398.106,49992.411,49397.827,28352.462
"Sub-Saharan Africa",16172.478,17394.732,19142.662,14898.021,23301.821,25074.388,35977.218,54429.007,46895.402,110108.77,180071.664,211421.378,300006.21,164809.52,161812.347,138377.98,224510.713,307426.527,367037.625,507415.729,994508.358,421540.238,412795.241
"Sub-Saharan Africa excluding South Africa",10972.411,12118.195,13790.881,9818.602999999999,18267.383,21747.639,30646.846,48313.638,40962.027,97325.32700000001,148753.222,155052.588,220448.391,83697.387,108861.485,72550.957,132856.516,135881.752,136099.765,278602.089,725816.187,139551.779,116854.44
"South America excluding Brazil",3602.247,5817.764,7819.234,14174.244,8161.9,10548.345,20930.895,14898.959,20081.94,32790.495,49464.743,105940.241,399858.295,164771.637,132117.827,178289.624,426195.337,644969.696,702537.508,269873.784,279883.786,238685.655,235419.951
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico",386.077,213.092,552.788,662.798,5482.296,3160.961,6175.955,21491.169,5907.89,13285.654,19402.029,46197.126,77091.31600000001,39840.34,128896.458,17435.432,75397.587,58283.064,72262.85000000001,23245.273,26143.082,26255.635,26570.796
"South America and Central America",17092.103,29828.645,57396.396,74382.842,99314.31200000001,143523.022,85386.467,182483.148,172362.773,460363.016,548147.379,759612.947,6596610.841,974048.718,947044.053,1258857.019,1793328.117,2503705.814,2508004.593,2561327.639,3011899.885,2547002.172,3727400.1
"Southern Asia excluding India",127036.985,78337.46799999999,95324.629,6876.883,20266.01,10226.686,35201.91,83789.037,37151.674,52825.055,69679.075,258594.821,211864.542,76897.776,82992.363,315391.47,267478.929,429254.485,46403.065,430080.842,219555.619,202386.741,106028.789
"Eastern, Southern and South-Eastern Asia",1316224.942,1378646.188,1536252.86,1311832.746,1379723.083,1344427.096,1408128.654,1771096.423,2043554.158,2329542.1,5662734.181,7270510.972,4589655.125,8102631.394,4981144.753,6370807.964,11810421.24,25350731.069,24664139.788,19853992.41,12478588.022,9950956.114,8588904.186000001
"Eastern and South-Eastern Asia excluding China",1156041.492,1280373.781,1414640.761,1245263.156,1345720.017,1304289.237,1350031.534,1644481.055,1933430.662,2192708.187,5458139.107,6685980.644,3972187.928,5855754.232,3668088.047,4115967.594,7579309.603,19511008.845,21246708.924,17008150.946,10321653.341,9237942.175000001,6887260.505
"ACP (African, Caribbean and Pacific Group of States)",16482.978,17567.022,19793.562,16108.729,24757.488,29584.606,49153.073,82898.66499999999,60186.336,127684.715,197596.455,245603.184,362676.361,229692.809,184261.637,147078.598,293149.116,368572.651,453371.174,550295.595,1024219.121,436886.461,431761.145
"ACP (African, Caribbean and Pacific Group of States): LDCs (Least developed countries)",2761.332,4344.462,3898.618,896.031,14001.521,6450.556,14001.11,42435.105,26646.102,58797.09,110055.208,82477.279,135799.222,53190.294,30722.759,28848.374,47178.304,79748.605,74069.03200000001,211706.527,680908.208,45602.785,54625.911
"ACP (African, Caribbean and Pacific Group of States): LLDCs (Landlocked developing countries)",3842.562,2076.589,3135.008,4615.592,2466.536,8505.007,8505.593999999999,3199.532,12490.973,37148.023,33471.935,61596.51,78310.241,26252.522,13695.908,21441.843,41080.911,45336.498,30098.129,118485.845,154752.258,27496.763,26192.907
"ACP (African, Caribbean and Pacific Group of States): Islands states",421.386,249,786.396,1388.12,1555.479,2339.172,2009.548,20596.781,6794.312,11385.754,12878.207,21136.774,49655.921,25502.045,17292.711,13608.051,17242.478,24922.333,41383.756,49132.667,40133.098,25572.013,26194.688
"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",168.345,50.784,446.921,735.655,490.444,609.5750000000001,2277.536,16081.518,2284.296,4214.509,2128.064,6517.684,80040.904,17395.486,39249.642,50680.351,230715.044,426567.623,462092.73,17034.998,15590.556,21612.292,18706.744
"AMU (Arab Maghreb Union)",245.692,73.413,346.183,349.237,366.971,600.728,678.619,9966.487999999999,10396.729,12794.016,14991.522,4467.075,54226.513,16249.743,24336.836,56667.913,24995.299,22707.057,21656.162,15527.866,32583.931,32445.532,18728.209
"APEC (Asia-Pacific Economic Cooperation)",1890698.534,2219548.211,2588570.794,2652780.444,3188605.264,3732635.67,3922767.857,4783721.872,5874655.378,7531960.98,12026232.478,14429453.189,16770447.805,16241881.53,11806036.121,14046011.752,18083785.948,31283807.489,32552913.431,29618611.344,24849214.175,21958172.528,22494021.41
