"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Developing economies excluding LDCs: Asia",14075525.773,14007285.636,15120680.859,13555377.693,14181447.181,18194034.035,18170640.906,20391345.367,25490877.181,33865096.564,40172854.271,45161494.853,50668541.886,51907122.416,49837719.118,68706319.575,82016391.749,79291981.228,77797081.818,75201296.95,66352055.017,63920074.111,72418159.549
"Developing economies excluding LDCs: Oceania",0.89,"..",2,52.089,1,723.162,948.338,414.396,7927.459,50226.818,70932.696,131677.931,98687.482,57196.294,76701.113,53738.269,83117.236,98693.026,67464.25,251819.502,241949.481,233728.516,272040.041
"Developing economies excluding LDCs and China: Asia",14075525.773,14007285.636,15120680.859,13555377.693,14181447.181,18194034.035,18170640.906,20391345.367,25490877.181,33865096.564,40172854.271,45161494.853,50668541.886,51907122.416,49837719.118,68706319.575,82016391.749,79291981.228,77797081.818,75201296.95,66352055.017,63920074.111,72418159.549
"LDCs (Least developed countries)",11706.312,9208.316000000001,511.413,581.5890000000001,785.402,352.182,3552.755,4992.809,4122.552,9682.200999999999,13921.114,9978.091,23476.988,28513.308,28413.272,56718.418,115963.685,99048.663,110719.635,322057.025,323048.617,238443.196,451455.986
"    LDCs: Africa and Haiti",233.53,526.826,351.347,356.501,141.973,132.108,194.078,77.892,417.254,592.732,3512.225,2935.453,2824.434,5613.673,3541.202,9438.424000000001,24480.839,19771.6,22513.449,29681.113,21533.688,31630.1,26982.576
"    LDCs: Asia",11472.782,8681.49,160.066,225.088,643.429,220.074,3358.677,4914.917,3705.298,9089.468999999999,10408.889,7042.638,20652.454,22880.589,24872.07,47279.98,91481.10000000001,79265.981,88193.148,292375.296,301494.951,206807.328,424469.823
"    LDCs: Islands","..","..","..","..","..","..","..","..","..",0,0,"..",0.1,19.046,"..",0.014,1.746,11.082,13.038,0.616,19.978,5.768,3.587
"    LDCs: Africa",183.494,500.776,350.013,356.501,141.973,132.108,172.078,77.892,417.254,578.732,3499.695,2871.352,2581.255,5497.439,3372.625,9270.038000000001,24256.047,19332.036,21798.882,28958.633,21068.309,30960.696,26455.394
"    LDCs: Islands and Haiti",50.036,26.05,1.334,"..","..","..",22,"..","..",14,12.53,64.101,243.279,135.28,168.577,168.4,226.538,450.646,727.605,723.096,485.357,675.172,530.769
"LLDCs (Landlocked developing countries)",85524.803,135482.6,30952.73,10534.58,12206.998,10387.307,42859.033,33579.453,102803.915,187057.4,203559.57,181267.649,310174.318,351454.358,530193.855,662357.502,1035981.46,1393669.474,701817.557,660923.704,730163.8760000001,941128.026,1436913.186
"SIDS (Small island developing States) (UNCTAD)",102.192,487.382,46.88,7.767,727.914,86.17700000000001,37.872,1875.157,548.4109999999999,490.778,398.995,365.654,6256.957,2306.062,32407.048,25169.349,29913.044,5745.615,3671.44,6242.741,2927.371,7866.74,8165.082
"High-income developing economies",14032341.987,14016290.339,15133293.044,13556100.274,13980574.591,17828514.544,17656971.713,19801021.546,25349846.322,33142495.366,39546620.872,44277268.088,50991974.436,51715185.692,50575877.481,66134126.698,78337659.634,75913567.242,73676584.66,70768698.10600001,62943866.046,59576785.917,65505831.72
"Middle-income developing economies",277607.449,215684.789,300627.713,302111.216,382093.443,608473.249,777100.473,956538.844,1065290.065,1551862.45,1835557.035,2145828.206,2034695.275,2178687.414,2880404.028,5616534.564,7126525.538,6590355.999,7217477.565,7702402.613,6973956.829,7377516.941,10146371.225
"Low-income developing economies",6895.994,7847.984,6577.31,5199.981,5755.737,5938.535,21047.63,26644.748,35221.98,50849.452,42987.124,36928.674,45147.51,96960.784,140560.104,225313.086,260214.53,237449.702,185286.011,268052.906,164930.531,138783.025,213902.764
"Low-income economies (World Bank)",6876.906,7841.097,6550.703,5042.917,5582.504,5899.074,20838.252,26502.969,35080.417,50480.205,42196.372,35609.458,41258.978,86430.923,127308.506,202867.802,220900.692,207527.45,159323.931,237258.953,152509.813,130461.661,201110.399
"Lower-middle-income economies (World Bank)",537980.284,545713.994,610404.647,625095.339,688242.784,829388.4030000001,853352.759,955943.581,1227381.398,1709901.878,1751450.554,1877210.954,1681716.829,1616190.836,2606689.106,3016226.084,3892254.037,3741648.205,3890855.595,4103688.024,3338431.62,4080244.431,5489889.89
"Upper-middle-income economies (World Bank)",2008864.782,2276174.732,2045695.417,1427989.845,1732314.701,2186866.122,2359820.409,2876535.263,3791193.897,4596827.108,5789985.575,7032239.991,8892181.577,8801593.065,9963002.960999999,13055790.131,16241369.405,16141420.051,15610823.006,15594531.916,14873550.19,13461563.391,16518477.279
"High-income economies (World Bank)",20259153.801,19582801.928,21143899.225,19516170.487,20659328.773,24806851.268,25067563.391,28528210.475,35888071.793,47714194.964,56561220.122,64493295.678,74833773.74,79415816.902,74897719.314,96700685.294,111616270.472,105384330.876,104017242.37,102046347.152,90792592.103,88707010.25,98677055.81999999
"High-income OECD members (World Bank)",9243513.834000001,8871025.575999999,9898003.091,9440351.221999999,10222107.793,11712089.617,12311415.041,14443860.108,18110908.273,24587962.611,29326542.907,34449023.84,40853055.692,45320680.754,43704071.248,53861223.183,60343602.092,55110860.211,56858320.814,55996560.315,50495523.807,50963371.517,57804541.254
"High-income non OECD members (World Bank)",11015639.967,10711776.352,11245896.134,10075819.265,10437220.98,13094761.651,12756148.35,14084350.367,17777163.52,23126232.353,27234677.215,30044271.838,33980718.048,34095136.148,31193648.066,42839462.111,51272668.38,50273470.665,47158921.556,46049786.837,40297068.296,37743638.733,40872514.566
"HIPCs (Heavily indebted poor countries) (IMF)",252.092,371.445,160.642,305.636,142.431,161.46,242.999,180.898,797.386,1664.641,7028.939,6588.336,8045.471,10401.057,7596.931,16122.009,29427.181,21102.528,28892.871,36836.846,24842.539,34854.923,28037.794
"LIFDC (Low-income food-deficit countries) (FAO)",88119.031,115349.265,59359.261,36062.93,66894.52800000001,146542.86,232486.291,312982.451,397575.664,677201.428,808157.4620000001,910114.583,815438.92,722692.214,1053781.231,1796950.178,2192678.547,1828990.774,1869709.247,1390236.362,1132260.459,1323082.141,1766766.59
"Selected LIFDC (Low-income food-deficit countries)",48354.872,35773.449,43514.886,29652.853,61562.727,141312.034,216890.455,288801.764,358748.164,604930.111,727456.607,862749.298,764176.764,589203.144,885622.303,1593365.681,1906693.062,1540585.054,1699744.133,1198011.674,1011541.979,1031962.302,1516618.067
"Selected exporters of petroleum",1899672.141,1889997.313,1550083.169,1001206.089,1433798.686,2125394.457,2734231.754,2598577.967,2720017.143,4053566.414,5741367.348,6358304.789,7472460.724,8362910.807,8418596.226,13263398.163,17946089.064,18494349.978,14733483.539,14219830.523,12519523.29,12032718.698,15643188.984
