"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Developing economies excluding LDCs: Oceania",3.853,1.755,1.913,0.853,0.511,27.404,0.06,0.124,0.235,0.329,"..",28.238,0.376,0.85,591.987,0.932,535.36,114.082,294.147,335.818,275.228,419.179,339.1
"Developing economies excluding LDCs and China: Asia",1602904.136,1910289.365,2156631.782,2275057.484,2497975.04,3350393.139,3780402.265,3770370.12,7794080.664,13111793.417,17143081.639,19999766.54,27396807.22,32868741.744,30228294.597,42622432.223,44103037.431,46266534.169,43661667.845,41007457.52,37925234.394,34981478.548,36776536.28
"LDCs (Least developed countries)",92.708,89.886,162.291,6.824,57.237,552.582,97.136,79.976,1290.576,2411.384,2927.552,3931.163,3373.389,2748.85,1299.618,2576.139,25473.121,20812.032,13038.468,54222.81,58796.986,73768.654,81830.151
"    LDCs: Africa and Haiti","..",38.468,60,"..",37.976,542.124,69.21299999999999,56.662,14.56,89.18300000000001,211.162,446.945,169.491,775.15,415.571,2151.439,20154.474,13395.385,8847.704,32485.667,12115.405,6970.147,18701.058
"    LDCs: Asia",92.708,51.418,102.291,6.824,19.261,10.458,27.923,23.314,1276.016,2322.201,2716.388,3484.218,3203.898,1973.7,866.289,417.464,5318.647,7411.194,4190.762,21737.099,46680.866,66794.58900000001,63127.376
"    LDCs: Islands","..","..","..","..","..","..","..","..","..","..",0.002,"..","..","..",17.758,7.236,"..",5.453,0.002,0.044,0.715,3.918,1.717
"    LDCs: Africa","..",38.468,60,"..",37.976,542.124,69.21299999999999,56.662,14.56,89.18300000000001,211.162,446.945,169.491,775.15,415.571,2151.439,20154.474,13395.385,8847.704,32485.667,12115.405,6970.147,18701.058
"    LDCs: Islands and Haiti","..","..","..","..","..","..","..","..","..","..",0.002,"..","..","..",17.758,7.236,"..",5.453,0.002,0.044,0.715,3.918,1.717
"LLDCs (Landlocked developing countries)",298.922,56389.017,211.691,4104.51,3221.167,1103.583,862.927,15782.354,16550.911,29256.505,54700.791,141578.882,42555.676,201332.49,723872.785,1749208.764,1684568.623,1666286.525,1732430.283,1684787.826,1683376.203,1120870.214,1198126.546
"SIDS (Small island developing States) (UNCTAD)",7.723,"..",16.152,29.531,5.62,0.1,3.28,29.138,22.173,65.592,167.467,52.27,12.14,3.323,65.08,157.323,401.719,140.997,123.691,312.662,239.544,324.387,435.592
"High-income developing economies",1595462.353,1894751.012,2140302.476,2248878.552,2459905.372,3366124.566,3846050.931,3732595.892,7761844.654,13101361.737,17096496.321,19985115.432,27395277.216,33076115.051,30500480.981,42939290.369,44602926.809,46939997.557,43641015.265,40656632.569,37308258.672,33674606.545,35516357.087
"Middle-income developing economies",10669.628,21371.522,25745.551,30782.339,42599.546,30426.738,43623.454,55310.374,64110.116,67085.726,90078.53200000001,97538.47100000001,159398.485,169364.012,160770.824,288363.787,314982.581,419166.554,586938.336,771017.955,1017962.324,1882169.113,1930909.187
"Low-income developing economies",123.022,122.576,"..",1076.796,1701.62,514.8490000000001,99.05800000000001,31.777,66.532,140.638,761.203,383.978,586.316,374.839,717.636,889.148,1375.301,14039.799,9337.196,45600.34,56920.425,68408.546,78380.838
"Low-income economies (World Bank)",123.022,86.862,"..",1069.972,1692.694,511.3,71.13500000000001,27.369,34.802,130.176,209.931,343.834,421.569,353.387,491.174,797.906,1287.794,14030.426,9181.682000000001,34036.385,14985.672,10067.066,24357.654
"Lower-middle-income economies (World Bank)",12102.623,78922.018,28980.217,39214.651,45684.379,33385.978,45587.001,59762.642,67283.32799999999,73723.317,88317.656,88497.44899999999,129636.04,125511.358,289609.189,969200.746,682747.535,649186.594,879757.798,1148979.264,1489407.448,2194014.369,2105248.623
"Upper-middle-income economies (World Bank)",102664.207,138961.91,116346.227,214199.113,174243.171,196190.29,341787.613,336993.264,466947.058,418860.451,537184.334,755693.964,674781.911,1073914.719,1529047.672,2396056.801,2898498.404,3432541.82,2921288.228,3178988.887,3891906.48,3930870.7,4448167.947
"High-income economies (World Bank)",5040315.168,6062762.111,7664891.769,9572165.455,8117282.45,8658648.207,10739441.705,12979351.597,17943795.382,24697746.445,29514498.757,42331926.176,52385169.12,59139804.222,50232589.416,70012758.85699999,78815014.625,84386171.766,84057719.204,85478494.09,79864577.587,76390188.184,86523754.037
"High-income OECD members (World Bank)",3539642.005,4323877.38,5783456.265,7508228.477,5781362.972,5490646.157,7189690.957,9511350.703,11085723.941,14204752.95,17535218.068,28216831.453,34097473.543,37911952.015,33728254.181,47379768.547,56259058.083,60365285.93,60967652.81,64267169.527,61819120.809,60030954.626,66092925.545
"High-income non OECD members (World Bank)",1500673.163,1738884.731,1881435.504,2063936.978,2335919.478,3168002.05,3549750.748,3468000.894,6858071.441,10492993.495,11979280.689,14115094.723,18287695.577,21227852.207,16504335.235,22632990.31,22555956.542,24020885.836,23090066.394,21211324.563,18045456.778,16359233.558,20430828.492
"HIPCs (Heavily indebted poor countries) (IMF)","..",42.912,"..",1.091,1541.808,505.543,73.535,33.447,58.234,105.125,286.777,617.143,244.697,367.561,497.722,2187.644,20684.985,13564.348,9022.967000000001,32701.566,13727.138,8191.172,19734.621
"LIFDC (Low-income food-deficit countries) (FAO)",10313.86,74236.81600000001,24154.197,30593.164,30187.568,26504.768,40425.991,50539.761,47686.657,45976.587,71786.557,58083.052,86278.413,89299.826,248239.134,939455.159,534236.996,445401.836,728094.937,892394.764,613573.583,422404.614,427664.713
"Selected LIFDC (Low-income food-deficit countries)",9915.994000000001,17907.424,24020.719,27647.636,30148.706,26456.522,40340.712,49356.402,46206.588,42465.74,71051.22900000001,57673.253,85410.75900000001,87295.541,100131.346,127184.75,157914.37,159124.458,386141.558,461821.682,143508.83,135343.898,252252.731
"Selected exporters of petroleum",58250.113,66280.868,42878.314,143034.951,135335.953,85738.001,156259.848,239656.136,284227.822,182362.072,184803.354,220497.008,160934.476,263985.538,741573.035,1007236.7,1346159.378,1422204.2,1619826.913,1672630.636,1709849.049,1092180.879,1387514.654
"Selected exporters of manufactured goods",1604209.292,1907409.759,2164220.445,2283136.498,2500534.9,3353044.953,3801787.933,3779988.264,7801011.864,13117108.313,17145819.281,20013312.902,27413491.201,32886163.955,30243041.106,42646942.404,44173358.476,46289280.791,43729228.605,41065905.877,38012501.716,35043066.143,36855537.824
"Selected exporters of manufactured goods and primary commodities",83643.965,122226.72,225234.726,161237.77,130058.345,186521.839,338647.21,682200.71,4058597.313,9162886.992000001,12570343.487,14926212.915,21774300.903,27035346.789,24556935.729,35829550.97,36342994.231,36841361.517,33287693.257,30579934.057,28309336.402,24870124.549,24824569.68
"Selected exporters of agricultural products",57.398,608.725,358.665,1312.782,3363.051,1677.495,3470.625,1816.275,2759.668,1999.33,3171.75,5030.432,8383.013000000001,10742.766,9709.441000000001,10499.161,13500.986,16571.454,22517.377,30470.52,33026.541,27947.433,38158.032
"Selected exporters of minerals and mining products",16.709,110.527,226.654,274.518,1540.584,478.613,301.475,75.05500000000001,517.837,4759.166,5070.099,13501.001,44116.824,49862.116,24745.747,136755.378,74534.238,49845.819,55259.445,48746.798,42399.243,51747.622,50813.528
"Net food-importing economies",2893816.977,3221698.124,3419431.285,3975964.888,4039135.546,5617778.303,6490358.041,7841178.135,12734613.313,20366740.471,24876739.678,29145489.846,37256122.434,44708070.065,43484188.373,61004067.43,66668191.099,70548840.037,69864446.786,69578042.243,63827389.676,61203765.998,67971306.18799999
"  Net food-importing developing economies",1565299.926,1832688.335,2080260.94,2192841.092,2443725.479,3267170.45,3687596.316,3650507.312,7607621.049,12897954.322,16778319.154,19510378.618,26971000.541,32375836.316,29801249.513,41757422.869,43197743.853,45231349.018,42633754.495,39443100.264,35463881.867,31237036.094,32944310.367
"  Net food-importing transition economies",58460.832,122331.848,42694.68,145767.102,135258.016,85734.87,156088.691,240589.009,285029.848,185390.565,184308.121,219864.085,160202.798,264191.768,888946.699,1816014.993,1718819.213,1693977.784,1943208.791,2069451.046,2164384.565,1369433.813,1537830.66
"  Net food-importing developed economies",1270056.219,1266677.941,1296475.665,1637356.694,1460152.051,2264872.983,2646673.034,3950081.814,4841962.416,7283395.584,7914112.403,9415247.142999999,10124919.095,12068041.981,12793992.161,17430629.568,21751628.033,23623513.235,25287483.5,28065490.933,26199123.244,28597296.091,33489165.161
