"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    LDCs: Africa",32236.017,24358.48,37334.019,36330.298,27538.485,40227.956,43112.512,52683.445,107074.727,183504.269,317078.064,388132.342,542578.093,971790.545,993933.336,1036883.928,1249754.915,1629619.026,1804917.064,2072783.948,1848350.466,1642585.102,1734728.058
"    LDCs: Islands and Haiti",149.107,125.473,356.504,244.387,175.52,146.654,318.401,470.74,1498.848,1839.182,1402.256,2892.011,3415.755,4509.005,5481.531,6773.065,6546.853,8921.308000000001,7852.93,11879.725,16653.698,26037.881,23494.44
"LLDCs (Landlocked developing countries)",26032.339,19753.06,26946.188,24906.396,29714.439,44748.547,63814.374,58969.282,86373.33500000001,167201.006,267037.388,459926.392,919634.032,1041436.693,888497.3320000001,1181475.144,1602779.462,2214537.122,2304395.724,2172789.712,1946330.471,1717021.838,1963427.978
"SIDS (Small island developing States) (UNCTAD)",1707.139,1824.264,2090.246,2340.004,3048.384,3096.269,4691.982,6193.531,8113.298,13447.21,21054.357,25916.271,34413.196,47917.107,36554.81,41278.245,53071.527,73640.22900000001,75844.80100000001,103842.833,82897.773,123909.394,111929.174
"High-income developing economies",627064.465,635557.3100000001,764227.1360000001,597327.084,675832.371,882264.148,845975.755,933442.887,1141066.912,1705633.845,2646964.156,4009704.4,5765358.058,7874044.583,5633651.558,8094230.686,11483388.528,12862537.986,14218089.381,14611378.248,14636917.041,13037787.865,15632268.006
"Middle-income developing economies",176761.749,173590.907,177478.851,172906.727,272017.707,1095994.609,918664.539,787166.473,1085879.116,1283833.358,2112585.022,2886045.666,4298683.735,6213719.263,5001433.566,6611796.081,8156256.406,9001269.265000001,9570269.225,10867995.211,10726106.908,9280657.540999999,10452862.765
"Low-income developing economies",50115.245,42201.83,56620.861,42736.569,44693.802,66106.829,63078.868,49279.962,100073.92,182444.172,228400.331,284398.827,423096.147,660573.102,717340.8000000001,919363.339,1212037.057,1523332.141,1597595.505,1737421.599,1832043.377,1866075.225,1820840.927
"Low-income economies (World Bank)",46123.022,39815.355,53358.107,40677.118,41257.514,61459.985,58438.483,43812.538,82609.455,168015.509,206088.385,255396.083,384725.156,609132.4520000001,676004.982,852993.357,1136095.312,1395098.256,1477745.495,1597010.168,1712239.314,1709196.415,1662830.431
"Lower-middle-income economies (World Bank)",162885.104,158671.722,166502.59,137028.979,208007.652,870794.896,807836.121,653118.122,875559.787,1081160.804,1776195.756,2329977.392,3891601.512,5406134.502,3614455.153,4976839.807,5964598.713000001,6785457.172,7356164.547,8483750.032,8519143.559,7645435.195,8685492.309
"Upper-middle-income economies (World Bank)",121063.583,111937.466,145389.022,153731.189,203134.352,432512.651,406921.701,490722.258,733983.2240000001,1176048.522,2156265.301,3779358.91,6268577.233,8026814.675,5264335.599,7883965.734,12172363.8,14273419.712,14526400.976,14134325.07,12570263.683,11331422.551,13813595.231
