"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"LDCs (Least developed countries)",213501.474,220192.831,260023.817,524275.228,439195.126,466435.739,475741.58,465643.851,654918.078,965575.554,1222858.726,1574345.08,1647050.851,2498198.858,2393304.811,2687100.166,3332390.397,3736994.215,4457688.547,5159688.336,5985163.608,5676294.969,6315024.694
"    LDCs: Africa and Haiti",51294.549,59345.584,66943.125,269251.241,94956.523,131188.473,186341.996,157436.083,241900.99,395652.93,582876.145,622116.612,704696.82,1128349.117,1162698.647,1197987.523,1523443.021,1704190.474,2146902.385,2453172.608,2668567.742,2207712.761,2432042.443
"    LDCs: Asia",161888.473,160395.862,192849.083,254807.3,343977.611,334849.674,289202.461,308056.212,412655.15,569064.7020000001,638781.887,950459.253,939641.368,1365445.226,1227779.113,1485003.784,1803919.585,2026788.822,2304284.198,2697924.679,3302968.843,3444189.79,3862442.2
"    LDCs: Islands",318.452,451.385,231.609,216.687,260.992,397.592,197.123,151.556,361.938,857.922,1200.694,1769.215,2712.663,4404.515,2827.051,4108.859,5027.791,6014.919,6501.964,8591.049000000001,13627.023,24392.418,20540.051
"    LDCs: Africa",50875.549,58838.584,65997.125,267171.241,92263.523,127741.473,183481.996,153991.083,239326.99,391767.93,578963.504,617935.752,700009.0600000001,1122035.279,1156878.175,1189823.252,1515979.919,1696199.366,2137932.088,2444076.024,2660204.246,2199348.806,2423620.844
"    LDCs: Islands and Haiti",737.452,958.385,1177.609,2296.687,2953.992,3844.592,3057.123,3596.556,2935.938,4742.922,5113.335,5950.075,7400.423,10718.353,8647.522999999999,12273.13,12490.893,14006.027,15472.261,17687.633,21990.519,32756.373,28961.65
"LLDCs (Landlocked developing countries)",44292.624,46402.271,79460.59699999999,90451.341,69066.04700000001,114421.152,154280.171,173868.827,259747.673,402484.142,648970.1580000001,797286.842,1290531.376,2746357.771,2719409.296,1969784.349,2500147.886,3670846.552,3779682.827,3343202.485,3350178.985,2947869.358,3569557.769
"SIDS (Small island developing States) (UNCTAD)",12720.946,17986.045,17512.186,20591.977,17942.435,23805.835,37010.61,35309.371,43497.814,51089.43,68880.156,131528.454,141534.39,175876.263,118177.706,170449.433,209411.413,213233.444,245691.431,295357.46,279498.572,268266.418,305838.774
"High-income developing economies",5820137.389,4960247.767,5474852.656,3993918.464,4087509.425,5969385.348,5182146.66,5789450.806,7577816.639,12730988.251,15592307.451,19248257.055,26142081.594,30434191.491,21107340.524,29453545.192,39245521.828,40283510.816,42020897.623,46831295.213,45453400.947,39480269.688,45337946.898
"Middle-income developing economies",908561.041,935671.934,1393201.325,1216994.47,1319993.45,1914226.963,1606815.9,2137697.574,2872273.82,4558444.423,6689674.671,9160432.949999999,12178297.911,15853402.475,13012637.398,17415289.745,24157383.382,24504441.705,26005712.068,34185448.383,35489468.655,32128406.565,36576084.598
